pressures(hPa),850hPa,650hPa
1000.405625,0.1256220674793643,0.19427421533560832
985.492265625,0.12710204120578877,0.1959751001867939
975.886796875,0.12857580302731772,0.19766788698852794
952.53421875,0.14450673752335663,0.2176722414817414
938.869140625,0.25945328708395754,0.36945761393741056
907.825234375,0.21916203068136758,0.30838452967996066
890.5646875,0.21750961670853536,0.330907120569787
852.8871875,0.19805512281471618,0.34338442286490556
789.505078125,0.18282240943962833,0.365952664251175
719.775703125,0.15111140498542006,0.3267207485005742
645.7512890625,0.006137552191339717,0.020131016042422123
569.52578125,0.38763305458681696,0.9290714309017608
493.4822265625,0.4101922538347823,0.8447804486198309
419.452734375,0.4300745705254842,0.892068424771771
349.0413671875,0.3926540208963628,0.8267853174180532
283.539765625,0.38503953862938106,0.8253583209603819
243.0421875,0.39125936821575263,0.847350871597164
205.35419921875,0.37963695372116985,0.8336765498080607
