pressures(hPa),850 hPa,650 hPa
1001.27,0.18112474457417807,0.2378380939224829
987.947,0.18217254443737377,0.2392037082033313
969.724,0.23920324006970234,0.3135005413388162
954.06,0.23650414091863026,0.3113549413732135
934.911,0.24187008321704145,0.32450473281913605
911.617,0.25101518053345334,0.3474887372182469
883.451,0.26581340263312453,0.3844037974130916
849.66,0.2715924298825672,0.41546512897710847
786.877,0.2533022352497434,0.43173614182710496
736.189,0.24647436762085562,0.44086836766401455
646.712,0.25368306419704195,0.42912255045064973
579.089,0.27432274452112276,0.3951343545712189
470.035,0.33897418116441963,0.42459607614896117
396.325,0.3680607724015318,0.4698020005732264
360.414,0.3739511348896655,0.48338142347829216
292.51,0.3651556510330687,0.4822114449511608
231.981,0.3210804232226362,0.4310737933275923
205.017,0.26379688214169134,0.3570684958250976
