pressures(hPa),850 hPa,650 hPa
1001.27,0.17804338552620677,0.2589797450122149
987.947,0.17909117696821486,0.2604233162290743
969.724,0.2432655413945224,0.3206709975109156
954.06,0.2677799072075421,0.3283581101378056
934.911,0.3096946864115266,0.343654339072517
911.617,0.3669153366303463,0.3689404899889137
883.451,0.4338522494961092,0.40745404944243224
849.66,0.449791789814006,0.44889311017511324
786.877,0.3066459983032011,0.5135891389002264
736.189,0.2447576297041943,0.5860119177258547
646.712,0.25955573287027095,0.7349925589159271
579.089,0.29489762375333667,0.5358308761165856
470.035,0.3472278869041941,0.4202914763842114
396.325,0.3775524487571078,0.5009268840193063
360.414,0.382902740311036,0.5250814489951179
292.51,0.3717578603355159,0.5355585283139364
231.981,0.32647599760984497,0.4868798748178736
205.017,0.268510343744076,0.4071804230116015
